,time,pm_in,pm_out,tem_in,tem_out,rh_in,rh_out,co2,time_index
516,1/2/2017 18:55,0,0,0,0,0,0,0,18
517,1/2/2017 19:00,0,0,0,0,0,0,0,19
518,1/2/2017 19:05,0,0,0,0,0,0,0,19
519,1/2/2017 19:10,0,0,0,0,0,0,0,19
520,1/2/2017 19:15,0,0,0,0,0,0,0,19
521,1/2/2017 19:20,0,0,0,0,0,0,0,19
522,1/2/2017 19:25,0,0,0,0,0,0,0,19
523,1/2/2017 19:30,0,0,0,0,0,0,0,19
524,1/2/2017 19:35,0,0,0,0,0,0,0,19
525,1/2/2017 19:40,0,0,0,0,0,0,0,19
526,1/2/2017 19:45,0,0,0,0,0,0,0,19
527,1/2/2017 19:50,0,0,0,0,0,0,0,19
528,1/2/2017 19:55,0,0,0,0,0,0,0,19
529,1/2/2017 20:00,0,0,0,0,0,0,0,20
530,1/2/2017 20:05,0,0,0,0,0,0,0,20
531,1/2/2017 20:10,0,0,0,0,0,0,0,20
532,1/2/2017 20:15,0,0,0,0,0,0,0,20
533,1/2/2017 20:20,0,0,0,0,0,0,0,20
534,1/2/2017 20:25,0,0,0,0,0,0,0,20
535,1/2/2017 20:30,0,0,0,0,0,0,0,20
536,1/2/2017 20:35,0,0,0,0,0,0,0,20
537,1/2/2017 20:40,0,0,0,0,0,0,0,20
538,1/2/2017 20:45,0,0,0,0,0,0,0,20
539,1/2/2017 20:50,0,0,0,0,0,0,0,20
540,1/2/2017 20:55,0,0,0,0,0,0,0,20
541,1/2/2017 21:00,0,0,0,0,0,0,0,21
542,1/2/2017 21:05,0,0,0,0,0,0,0,21
543,1/2/2017 21:10,0,0,0,0,0,0,0,21
544,1/2/2017 21:15,0,0,0,0,0,0,0,21
545,1/2/2017 21:20,0,0,0,0,0,0,0,21
546,1/2/2017 21:25,0,0,0,0,0,0,0,21
547,1/2/2017 21:30,0,0,0,0,0,0,0,21
548,1/2/2017 21:35,0,0,0,0,0,0,0,21
549,1/2/2017 21:40,0,0,0,0,0,0,0,21
550,1/2/2017 21:45,0,0,0,0,0,0,0,21
551,1/2/2017 21:50,0,0,0,0,0,0,0,21
552,1/2/2017 21:55,0,0,0,0,0,0,0,21
553,1/2/2017 22:00,0,0,0,0,0,0,0,22
554,1/2/2017 22:05,0,0,0,0,0,0,0,22
555,1/2/2017 22:10,0,0,0,0,0,0,0,22
556,1/2/2017 22:15,0,0,0,0,0,0,0,22
557,1/2/2017 22:20,0,0,0,0,0,0,0,22
558,1/2/2017 22:25,0,0,0,0,0,0,0,22
559,1/2/2017 22:30,0,0,0,0,0,0,0,22
560,1/2/2017 22:35,0,0,0,0,0,0,0,22
561,1/2/2017 22:40,0,0,0,0,0,0,0,22
562,1/2/2017 22:45,0,0,0,0,0,0,0,22
563,1/2/2017 22:50,0,0,0,0,0,0,0,22
564,1/2/2017 22:55,0,0,0,0,0,0,0,22
565,1/2/2017 23:00,0,0,0,0,0,0,0,23
566,1/2/2017 23:05,0,0,0,0,0,0,0,23
567,1/2/2017 23:10,0,0,0,0,0,0,0,23
568,1/2/2017 23:15,0,0,0,0,0,0,0,23
569,1/2/2017 23:20,0,0,0,0,0,0,0,23
570,1/2/2017 23:25,0,0,0,0,0,0,0,23
571,1/2/2017 23:30,0,0,0,0,0,0,0,23
572,1/2/2017 23:35,0,0,0,0,0,0,0,23
573,1/2/2017 23:40,0,0,0,0,0,0,0,23
574,1/2/2017 23:45,0,0,0,0,0,0,0,23
575,1/2/2017 23:50,0,0,0,0,0,0,0,23
576,1/2/2017 23:55,0,0,0,0,0,0,0,23
577,1/3/2017 0:00,0,0,0,0,0,0,0,0
578,1/3/2017 0:05,0,0,0,0,0,0,0,0
579,1/3/2017 0:10,0,0,0,0,0,0,0,0
580,1/3/2017 0:15,0,0,0,0,0,0,0,0
581,1/3/2017 0:20,0,0,0,0,0,0,0,0
582,1/3/2017 0:25,0,0,0,0,0,0,0,0
583,1/3/2017 0:30,0,0,0,0,0,0,0,0
584,1/3/2017 0:35,0,0,0,0,0,0,0,0
585,1/3/2017 0:40,0,0,0,0,0,0,0,0
586,1/3/2017 0:45,0,0,0,0,0,0,0,0
587,1/3/2017 0:50,0,0,0,0,0,0,0,0
588,1/3/2017 0:55,0,0,0,0,0,0,0,0
589,1/3/2017 1:00,0,0,0,0,0,0,0,1
590,1/3/2017 1:05,0,0,0,0,0,0,0,1
591,1/3/2017 1:10,0,0,0,0,0,0,0,1
592,1/3/2017 1:15,0,0,0,0,0,0,0,1
593,1/3/2017 1:20,0,0,0,0,0,0,0,1
594,1/3/2017 1:25,0,0,0,0,0,0,0,1
595,1/3/2017 1:30,0,0,0,0,0,0,0,1
596,1/3/2017 1:35,0,0,0,0,0,0,0,1
597,1/3/2017 1:40,0,0,0,0,0,0,0,1
598,1/3/2017 1:45,0,0,0,0,0,0,0,1
599,1/3/2017 1:50,0,0,0,0,0,0,0,1
600,1/3/2017 1:55,0,0,0,0,0,0,0,1
601,1/3/2017 2:00,0,0,0,0,0,0,0,2
602,1/3/2017 2:05,0,0,0,0,0,0,0,2
603,1/3/2017 2:10,0,0,0,0,0,0,0,2
604,1/3/2017 2:15,0,0,0,0,0,0,0,2
605,1/3/2017 2:20,0,0,0,0,0,0,0,2
606,1/3/2017 2:25,0,0,0,0,0,0,0,2
607,1/3/2017 2:30,0,0,0,0,0,0,0,2
608,1/3/2017 2:35,0,0,0,0,0,0,0,2
609,1/3/2017 2:40,0,0,0,0,0,0,0,2
610,1/3/2017 2:45,0,0,0,0,0,0,0,2
611,1/3/2017 2:50,0,0,0,0,0,0,0,2
612,1/3/2017 2:55,0,0,0,0,0,0,0,2
613,1/3/2017 3:00,0,0,0,0,0,0,0,3
614,1/3/2017 3:05,0,0,0,0,0,0,0,3
615,1/3/2017 3:10,0,0,0,0,0,0,0,3
616,1/3/2017 3:15,0,0,0,0,0,0,0,3
617,1/3/2017 3:20,0,0,0,0,0,0,0,3
618,1/3/2017 3:25,0,0,0,0,0,0,0,3
619,1/3/2017 3:30,0,0,0,0,0,0,0,3
620,1/3/2017 3:35,0,0,0,0,0,0,0,3
621,1/3/2017 3:40,0,0,0,0,0,0,0,3
622,1/3/2017 3:45,0,0,0,0,0,0,0,3
623,1/3/2017 3:50,0,0,0,0,0,0,0,3
624,1/3/2017 3:55,0,0,0,0,0,0,0,3
625,1/3/2017 4:00,0,0,0,0,0,0,0,4
626,1/3/2017 4:05,0,0,0,0,0,0,0,4
627,1/3/2017 4:10,0,0,0,0,0,0,0,4
628,1/3/2017 4:15,0,0,0,0,0,0,0,4
629,1/3/2017 4:20,0,0,0,0,0,0,0,4
630,1/3/2017 4:25,0,0,0,0,0,0,0,4
631,1/3/2017 4:30,0,0,0,0,0,0,0,4
632,1/3/2017 4:35,0,0,0,0,0,0,0,4
633,1/3/2017 4:40,0,0,0,0,0,0,0,4
634,1/3/2017 4:45,0,0,0,0,0,0,0,4
635,1/3/2017 4:50,0,0,0,0,0,0,0,4
636,1/3/2017 4:55,0,0,0,0,0,0,0,4
637,1/3/2017 5:00,0,0,0,0,0,0,0,5
638,1/3/2017 5:05,0,0,0,0,0,0,0,5
639,1/3/2017 5:10,0,0,0,0,0,0,0,5
640,1/3/2017 5:15,0,0,0,0,0,0,0,5
641,1/3/2017 5:20,0,0,0,0,0,0,0,5
642,1/3/2017 5:25,0,0,0,0,0,0,0,5
643,1/3/2017 5:30,0,0,0,0,0,0,0,5
644,1/3/2017 5:35,0,0,0,0,0,0,0,5
645,1/3/2017 5:40,0,0,0,0,0,0,0,5
646,1/3/2017 5:45,0,0,0,0,0,0,0,5
647,1/3/2017 5:50,0,0,0,0,0,0,0,5
648,1/3/2017 5:55,0,0,0,0,0,0,0,5
649,1/3/2017 6:00,0,0,0,0,0,0,0,6
650,1/3/2017 6:05,0,0,0,0,0,0,0,6
651,1/3/2017 6:10,0,0,0,0,0,0,0,6
652,1/3/2017 6:15,0,0,0,0,0,0,0,6
653,1/3/2017 6:20,0,0,0,0,0,0,0,6
654,1/3/2017 6:25,0,0,0,0,0,0,0,6
655,1/3/2017 6:30,0,0,0,0,0,0,0,6
656,1/3/2017 6:35,0,0,0,0,0,0,0,6
657,1/3/2017 6:40,0,0,0,0,0,0,0,6
658,1/3/2017 6:45,0,0,0,0,0,0,0,6
659,1/3/2017 6:50,0,0,0,0,0,0,0,6
660,1/3/2017 6:55,0,0,0,0,0,0,0,6
661,1/3/2017 7:00,0,0,0,0,0,0,0,7
662,1/3/2017 7:05,0,0,0,0,0,0,0,7
663,1/3/2017 7:10,0,0,0,0,0,0,0,7
664,1/3/2017 7:15,0,0,0,0,0,0,0,7
665,1/3/2017 7:20,0,0,0,0,0,0,0,7
666,1/3/2017 7:25,0,0,0,0,0,0,0,7
667,1/3/2017 7:30,0,0,0,0,0,0,0,7
668,1/3/2017 7:35,0,0,0,0,0,0,0,7
669,1/3/2017 7:40,0,0,0,0,0,0,0,7
670,1/3/2017 7:45,0,0,0,0,0,0,0,7
671,1/3/2017 7:50,0,0,0,0,0,0,0,7
672,1/3/2017 7:55,0,0,0,0,0,0,0,7
673,1/3/2017 8:00,0,0,0,0,0,0,0,8
674,1/3/2017 8:05,0,0,0,0,0,0,0,8
675,1/3/2017 8:10,0,0,0,0,0,0,0,8
676,1/3/2017 8:15,0,0,0,0,0,0,0,8
677,1/3/2017 8:20,0,0,0,0,0,0,0,8
678,1/3/2017 8:25,0,0,0,0,0,0,0,8
679,1/3/2017 8:30,0,0,0,0,0,0,0,8
680,1/3/2017 8:35,0,0,0,0,0,0,0,8
681,1/3/2017 8:40,0,0,0,0,0,0,0,8
682,1/3/2017 8:45,0,0,0,0,0,0,0,8
683,1/3/2017 8:50,0,0,0,0,0,0,0,8
684,1/3/2017 8:55,0,0,0,0,0,0,0,8
685,1/3/2017 9:00,0,0,0,0,0,0,0,9
